Event;Date;Team;Winnings
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Envy       ;172000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Keyd       ;10000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;TSM        ;42000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;CLG        ;6000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Luminosity ;20000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Kinguin    ;10000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Renegades  ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Immunity   ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;eBettle    ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;G2         ;22000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Liquid     ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Vexed      ;2000
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Astralis   ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Gambit     ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;FaZe       ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Splyce     ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;OpTic      ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;North      ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;GODSENT    ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Immortals  ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;BIG        ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;MIBR       ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;TYLOO      ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Winstrike  ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;ENCE       ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;AVANGAR    ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;Vitality   ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;NRG        ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;CR4ZY      ;
DreamHack Open Cluj-Napoca 2015;2015-11-01T11:00:00.000Z;DreamEaters;
MLG Columbus 2016;2016-04-03T10:00:00.000Z;fnatic     ;415000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;NiP        ;367000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;VeryGames  ;22000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Complexity ;32000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;LGB        ;34000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Recursive  ;10000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Reason     ;4000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;SK         ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Xapso      ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;iBUYPOWER  ;8000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Dignitas   ;56000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;LDLC       ;132000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;HellRaisers;24000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;3DMAX      ;4000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Titan      ;10000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;mousesports;14750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Cloud9     ;26750
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Epsilon    ;10000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;Wolves     ;2000
MLG Columbus 2016;2016-04-03T10:00:00.000Z;dAT        ;2000
